"Horodateur","1. Wiek","2. Płeć","3. Narodowość","4. Wielkość miejsca zamieszkania (Gdańsk mieści się w kategorii powyżej 500000 mieszkańców, a Gdynia w kategorii 100 000 – 500000 mieszkańców)","5. Profil klasy","6. Czy słyszałeś_aś wcześniej o stwardnieniu rozsianym?","7. Jeśli tak, to z jakiego źródła?","8. Czy znasz kogoś chorującego na stwardnienie rozsiane?","9. Jak oceniasz swoją wiedze na temat stwardnienie rozsianego?","1. Stwardnienie rozsiane (Sclerosis multiplex, SM) to neurologiczna choroba wynikająca z dysfunkcji układu:","2. Stwardnienie rozsiane wynika z:","3. Do objawów stwardnienia rozsianego należy/należą:
","4. Stwardnienie rozsiane może powodować:","5. Stwardnienie rozsiane występuje najczęściej u osób młodych.","6. Stwardnienie rozsiane częściej dotyczy kobiet niż mężczyzn.","7. Stwardnienie rozsiane występuje częściej w krajach o umiarkowanym klimacie.","8. Niedobór witaminy D jest czynnikiem ryzyka wystąpienia stwardnienia rozsianego.","9. Otyłość jest czynnikiem ryzyka wystąpienia stwardnienia rozsianego.","10. Palenie jest czynnikiem ryzyka wystąpienia stwardnienia rozsianego.","11. Stwardnienie rozsiane to choroba neurologiczna, w której występują okresy zaostrzenia i remisji.","12. Styl życia zmniejsza stopień niepełnosprawności w wyższym stopniu niż leczenie stwardnienia rozsianego.","13. SM jest nieuleczalną chorobą, jednak leki bardzo dobrze spowalniają jej rozwój.","14. Wczesne rozpoznanie stwardnienia rozsianego i szybkie wdrożenie leczenia poprawia rokowanie.","1. Stwardnienie rozsiane (Sclerosis multiplex, SM) to neurologiczna choroba wynikająca z dysfunkcji układu:","2. Stwardnienie rozsiane wynika z:","3. Do objawów stwardnienia rozsianego należy/należą:
","4. Stwardnienie rozsiane może powodować:","5. Stwardnienie rozsiane występuje najczęściej u osób młodych.","6. Stwardnienie rozsiane częściej dotyczy kobiet niż mężczyzn.","7. Stwardnienie rozsiane występuje częściej w krajach o umiarkowanym klimacie.","8. Niedobór witaminy D jest czynnikiem ryzyka wystąpienia stwardnienia rozsianego.","9. Otyłość jest czynnikiem ryzyka wystąpienia stwardnienia rozsianego.","10. Palenie jest czynnikiem ryzyka wystąpienia stwardnienia rozsianego.","11. Stwardnienie rozsiane to choroba neurologiczna, w której występują okresy zaostrzenia i remisji.","12. Styl życia zmniejsza stopień niepełnosprawności w wyższym stopniu niż leczenie stwardnienia rozsianego.","13. SM jest nieuleczalną chorobą, jednak leki bardzo dobrze spowalniają jej rozwój.","14. Wczesne rozpoznanie stwardnienia rozsianego i szybkie wdrożenie leczenia poprawia rokowanie.","15. Czy uważasz, że w toku nauczania szkolnego powinny być ujęte tego typu lekcje na temat stwardnienia rozsianego, padaczki i innych częstych schorzeń zdrowotnych?"
"2024/01/15 1:14:33 PM UTC+2","16-17 lat","Mężczyzna","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Tak","Internet","Nie","Słaba","Immunologicznego","Przyczyn genetycznych i jest chorobą dziedziczną","Wszystkie powyższe odpowiedzi są poprawne","Niepełnosprawność","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Prawda","Prawda","Tak"
"2024/01/15 1:14:33 PM UTC+2","16-17 lat","Kobieta","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Tak","Rodzina;Internet","Nie","Słaba","Immunologicznego","Nie wiem","Nie wiem","Wszystkie powyższe odpowiedzi są poprawne","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Prawda","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Prawda","Prawda","Tak"
"2024/01/15 1:14:34 PM UTC+2","15-16 lat","Mężczyzna","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Tak","Internet","Nie","Średnia","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Nie wiem","Prawda","Prawda","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Prawda","Prawda","Aids"
"2024/01/15 1:14:41 PM UTC+2","14-15 lat","Kobieta","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Nie","","Nie","Nic nie wiem o tej chorobie","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Fałsz","Prawda","Prawda","Nie wiem","Prawda","Prawda","Prawda","Prawda","Prawda","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Prawda","Prawda","Tak"
"2024/01/15 1:14:43 PM UTC+2","15-16 lat","Mężczyzna","Polska","Miasto od 100 000 do 500 000 mieszkańców","Inny","Tak","Internet","Nie","Średnia","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Fałsz","Nie wiem","Fałsz","Fałsz","Prawda","Prawda","Nie wiem","Prawda","Prawda","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Prawda","Prawda","Fałsz","Prawda","Prawda","Prawda","Fałsz","Prawda","Prawda","Tak"
"2024/01/15 1:14:44 PM UTC+2","16-17 lat","Kobieta","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Tak","Uczę się o medycynie ze względu na własne zainteresowania ","Nie","Dobra","Immunologicznego","Przyczyn genetycznych i jest chorobą dziedziczną","Wszystkie powyższe odpowiedzi są poprawne","Zaburzenia psychiczne (depresja, niepokój, wahania nastroju)","Prawda","Nie wiem","Nie wiem","Prawda","Prawda","Fałsz","Prawda","Prawda","Prawda","Prawda","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Fałsz","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Prawda","Prawda","Tak, uważam, że w szkole powinny być lekcje na temat zdrowia fizycznego, jak i psychicznego "
"2024/01/15 1:14:45 PM UTC+2","15-16 lat","Kobieta","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Tak","Rodzina;Internet","Tak","Średnia","Immunologicznego","Przyczyn genetycznych i jest chorobą dziedziczną","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Nie wiem","Fałsz","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Prawda","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Tak"
"2024/01/15 1:14:47 PM UTC+2","16-17 lat","Kobieta","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Tak","Rodzina;Znajomi","Tak","Średnia","Immunologicznego","Przyczyn genetycznych i jest chorobą dziedziczną","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Nie wiem","Prawda","Prawda","Fałsz","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Prawda","Prawda","Tak"
"2024/01/15 1:14:50 PM UTC+2","14-15 lat","Mężczyzna","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Nie","","Nie","Nic nie wiem o tej chorobie","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Prawda","Prawda","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Tak"
"2024/01/15 1:14:51 PM UTC+2","15-16 lat","Mężczyzna","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Tak","Internet","Nie","Słaba","Nie wiem","Nie wiem","Wszystkie powyższe odpowiedzi są poprawne","Nie wiem","Prawda","Nie wiem","Nie wiem","Fałsz","Nie wiem","Nie wiem","Prawda","Prawda","Prawda","Prawda","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Prawda","Prawda","Tak"
"2024/01/15 1:14:55 PM UTC+2","16-17 lat","Kobieta","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Tak","Rodzina;Szkoła","Tak","Średnia","Szkieletowego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Fałsz","Prawda","Nie wiem","Nie wiem","Nie wiem","Prawda","Nie wiem","Prawda","Prawda","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Fałsz","Prawda","Prawda","Tak"
"2024/01/15 1:14:55 PM UTC+2","16-17 lat","Kobieta","Polska","Miasto od 100 000 do 500 000 mieszkańców","Inny","Tak","Szkoła;Internet","Nie","Słaba","Nie wiem","Nie wiem","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Prawda","Prawda","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Prawda","Prawda","Tak"
"2024/01/15 1:15:02 PM UTC+2","15-16 lat","Kobieta","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Tak","Rodzina;Internet;Inne (jakie)","Nie","Średnia","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Drętwienie lub osłabienie jednej lub więcej kończyn, zwykle występujące po jednej stronie ciała naraz","Wszystkie powyższe odpowiedzi są poprawne","Nie wiem","Nie wiem","Nie wiem","Fałsz","Fałsz","Nie wiem","Fałsz","Fałsz","Prawda","Fałsz","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Prawda","Prawda","Tak"
"2024/01/15 1:15:04 PM UTC+2","16-17 lat","Kobieta","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Tak","Rodzina;Znajomi;Szkoła;Internet;Inne (jakie)","Tak","Słaba","Szkieletowego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Fałsz","Nie wiem","Nie wiem","Fałsz","Prawda","Fałsz","Prawda","Prawda","Prawda","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Prawda","Prawda","Tak"
"2024/01/15 1:15:04 PM UTC+2","16-17 lat","Inna","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Nie","","Nie","Słaba","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Prawda","Prawda","Tak"
"2024/01/15 1:15:07 PM UTC+2","16-17 lat","Mężczyzna","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Tak","Internet","Nie","Nic nie wiem o tej chorobie","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Prawda","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Prawda","Prawda","Tak"
"2024/01/15 1:15:07 PM UTC+2","15-16 lat","Mężczyzna","Polska","Miasto do 50 000 mieszkańców","Inny","Tak","Internet","Nie","Nic nie wiem o tej chorobie","Immunologicznego","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Fałsz","Prawda","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Tak"
"2024/01/15 1:15:11 PM UTC+2","16-17 lat","Kobieta","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Tak","Internet","Nie","Słaba","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Fałsz","Nie wiem","Prawda","Fałsz","Nie wiem","Prawda","Fałsz","Prawda","Prawda","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Fałsz","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Prawda","Prawda","Tak"
"2024/01/15 1:15:11 PM UTC+2","16-17 lat","Kobieta","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Tak","Rodzina","Nie","Nic nie wiem o tej chorobie","Immunologicznego","Przyczyn genetycznych i jest chorobą dziedziczną","Drętwienie lub osłabienie jednej lub więcej kończyn, zwykle występujące po jednej stronie ciała naraz","Zaburzenia funkcji poznawczych (kłopoty z pamięcią i znajdowaniem odpowiednich słów)","Prawda","Nie wiem","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Nie wiem","Nie wiem","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Nie wiem","Prawda","Prawda","Tak"
"2024/01/15 1:15:16 PM UTC+2","15-16 lat","Mężczyzna","Polska","Miasto powyżej 500 000 mieszkańców","Inny","Tak","Inne (jakie)","Nie","Nic nie wiem o tej chorobie","Nie wiem","Nie wiem","Nie wiem","Niepełnosprawność","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Prawda","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Fałsz","Prawda","Prawda","Tak"
"2024/01/15 1:15:17 PM UTC+2","15-16 lat","Kobieta","Polska","Miasto od 100 000 do 500 000 mieszkańców","Inny","Nie","","Nie","Nic nie wiem o tej chorobie","Immunologicznego","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Nie wiem","Immunologicznego","Przyczyny stwardnienia rozsianego nie są do końca znane","Wszystkie powyższe odpowiedzi są poprawne","Wszystkie powyższe odpowiedzi są poprawne","Fałsz","Prawda","Prawda","Prawda","Prawda","Prawda","Prawda","Fałsz","Prawda","Prawda","Tak"
